University Name ,State,CDS Year,TotalUndergraduateFTMen,TotalUndergradMenPT,TotalUndergradFTWomen,TotalUndergradPTWomen,TotalFTUndergradMenWomen,TotalUndergraduateMenEnrolled,PercentUndergradMenEnrolled,TotalUndergraduateWomenEnrolled,PercentUndergradWomenEnrolled,TotalUndergraduateOtherGenderEnrolled,PercentUndergradOtherGenderEnrolled,TotalUndergraduateEnrolled,TotalFTGraduateMen,TotalPTGraduateMen,TotalFTGraduateWomen,TotalPTGraduateWomen,TotalGraduateMenEnrolled,PercentGraduateMenEnrolled,TotalGraduateWomenEnrolled,PercentGraduateWomenEnrolled,TotalGraduateOtherGenderEnrolled,PercentGraduateOtherGenderEnrolled,TotalGraduateEnrolled,PercentMenEnrolled,PercentWomenEnrolled,TotalAllStudentsEnrolled,TotalNonResidentUndergrad,PercentNonResidentUndergrad,TotalHispanicUndergrad,PercentHispanicUndergrad,TotalBlackUndergrad,PercentBlackUndergrad,TotalWhiteUndergrad,PercentWhiteUndergrad,TotalNativeAmericanUndergrad,PercentNativeAmericanUndergrad,TotalAsianUndergrad,PercentAsianUndergrad,TotalPacificIslanderUndergrad,PercentPacificIslanderUndergrad,Total2+RacesUndergrad,Percent2+RacesUndergrad,TotalUnknownRaceUndergrad,PercentUnknownRaceUndergrad,PellGrantRecipients2016Cohort,Total2016Cohort,Percent2016CohortGotPellGrands,TotalSixYearGraduation Rate %2016Cohort,PellGrantRecipients2015Cohort,Total2015Cohort,Percent2015CohortGotPellGrants,TotalSixYearGraduation Rate %2015Cohort,RetentionRateUndergradFirstYear%,FTFYMenApplied,PercentFTFYMenApplied,FTFYWomenApplied,PercentFTFYWomenApplied,FTFYOtherGenderApplied,PercentFTFYOtherGenderApplied,FTFYTotalApplied,FTFYMenAdmitted,PercentFTFYMenAdmitted,FTFYWomenAdmitted,PercentFTFYWomenAdmitted,FTFYOtherGenderAdmitted,PercentOtherGenderAdmitted,FTFYTotalAdmitted,FTFYMenEnrolledFT,FTFYMenEnrolledPT,PercentFTFYMenEnrolled,FTFYWomenEnrolledFT,FTFYWomenEnrolledPT,PercentFTFYWomenEnrolled,FTFYOtherGenderEnrolledFT,FTFYOtherGenderEnrolledPT,PercentFTFYOtherGenderEnrolled,FTFYTotalEnrolled,HSCompletionRequirement,ACTUsedForAdmissionDecisions?,FTFYGPAAvg,ResidentApplicationFee(inDollars),ApplicationFeeCanBeWaived?,TotalTransferMenEnrolled,PercentTransferMenEnrolled,TotalTransferWomenEnrolled,PercentTransferWomenEnrolled,TotalAppliedTransfer,TotalAdmittedTransfer,TotalEnrolledTransfer,PercentEnrolledStudentsTransfer,PercentUndergradOutOfState,PercentUndergradOnCampus,PercentUndergradOffCampus,AverageUndergradStudentAge,InStateTuitionCost,OutStateTuitionCost,NonresidentTuitionCost,InStateCreditHourCost,OutStateCreditHourCost,NonresidentCrediHourCost,TotalNeedBasedScholarship,TotalNonNeedScholarship,FTUndergradApplyNeedBasedFinancialAid,PercentUndergradApplyForNeedBasedFinancialAid,FTUndergradAwardedFinancialAid,FTUndergradAwardedNeedBasedFinancialAid,PercentUndergradAppliedNeedBasedFinancialAidReceived,PercentUndergradGotNeedBasedFinancialAid,PercentOfNeed-BasedAidMetForStudents,AvgNeedBasedScholarshipAmount,NoFinancialNeedFTStudentsAwardedScholarship,AvgNoNeedScholarship,PercentFirstTimeStudentsBorrowedAnyLoanProgram,FirstTimeStudentsAvgBorrowedAnyLoanProgram,NonresidentStudentsAwardedAid,AvgAmountAwardedNonresidentStudents,Student/FacultyRatio,Current Minimum Wage,Preemption,NomPreemption,Hypertension,Cardiovascular Disease,Avoided Care Due To Cost,Drug Deaths (per 100.000),Suicide (per 100.000),High Cholesterol,Depression Women,Multiple Chronic Conditions,Income Inequality,Violent Crime Rate (per 100.000),Child Mortality,Infant Mortality (per 100.000),Percent Black,Percent White,Median Wage,Cost Of Living Index,Housing Insecurity,Food Insecurity
University of North Texas,Texas,2022-2023,11756,3374,14248,3646,26004,15130,45.81516473,17894,54.18483527,0,0,33024,3927,1486,3741,2527,5413,46.3402106,6268,53.6597894,0,0,11681,45.95235432,54.04764568,44705,1445,3.232300638,9488,21.22357678,5013,11.21351079,12602,28.18924058,90,0.201319763,2560,5.726428811,37,0.082764791,1453,3.250195728,336,0.751593781,1774,4559,38.91204211,58.89,1065,4109,25.91871502,74,77.93,14182,43.33822271,18541,56.65872143,0,0,32724,10804,41.97032088,14937,58.02579442,0,0,25742,2703,191,43.68961353,3525,205,56.31038647,0,0,0,6624,GEDorHSDiplomaAccepted,Yes,3.715,75,Yes,1720,45.85443882,2031,54.14556118,7500,5793,3751,11.35840601,5.1,19.5,80.5,22,8295,18087,18087,385,1137,1137,183881461,13907414,19304,74.23473312,15073,11317,58.62515541,43.52022766,62,9559,3636,6739,49,22068,368,4664,26,7.25,1,Yes,0.32,0.07,0.16,14.3,13.7,0.36,0.19,0.09,4.88,447,26.9,5.5,0.13,0.71,57300,93,0.14,0.13
University of Texas at Austin,Texas,2022-2023,16248,1362,22343,1356,38591,17610,42.62993537,23699,57.37006463,0,0,41309,5124,360,5149,442,5484,49.51693002,5591,50.48306998,0,0,11075,44.08598045,55.91401955,52384,1915,3.655696396,11538,22.02580941,1861,3.552611484,13732,26.21411118,43,0.082086133,10039,19.16424863,22,0.041997557,1638,3.12690898,521,0.994578497,1956,8570,22.82380397,87.8,1803,7566,23.83029342,87.7,95.3,28507,47.69688959,31260,52.30311041,0,0,59767,7598,40.47948855,11172,59.52051145,0,0,18770,3570,51,39.75189373,5409,79,60.24810627,0,0,0,9109,GEDorHSDiplomaAccepted,Yes,3.715,75,Yes,786,45.19838988,953,54.80161012,6961,2358,1739,4.209736377,5,17.6,82.4,20,11698,41070,41070,385,1137,1137,225308443,24807954,24323,63.02764893,17117,16236,66.75163426,42.0719857,77.2,13616,1964,4152,41,21809,125,8092,18,7.25,1,Yes,0.32,0.07,0.16,14.3,13.7,0.36,0.19,0.09,4.88,447,26.9,5.5,0.13,0.71,57300,93,0.14,0.13
University of Texas at Dallas,Texas,2022-2023,10006,2190,7963,1458,17969,12196,56.41855947,9421,43.58144053,0,0,21617,4191,1454,3147,1161,5645,56.71656787,4308,43.28343213,0,0,9953,56.51251188,43.48748812,31570,895,2.834969908,3849,12.19195439,1185,3.75356351,5241,16.60120367,21,0.066518847,8933,28.29585049,12,0.03801077,862,2.730440291,619,1.960722205,912,3137,29.07236213,73.92,813,2656,30.60993976,73.62,87.27,10818,50.31627907,10682,49.68372093,0,0,21500,8963,49.19319429,9257,50.80680571,0,0,18220,2113,179,54.33854908,1820,106,45.66145092,0,0,0,4218,GEDorHSDiplomaAccepted,Yes,3.715,50,Yes,922,55.54216867,738,44.45783133,3705,3016,1660,7.679141416,6,23,77,21,16412,44812,44812,385,1137,1137,135403419,15184213,11159,62.10139685,8472,7594,68.05269289,42.26167288,63,11149,4495,11673,29,23403,411,8890,25,7.25,1,Yes,0.32,0.07,0.16,14.3,13.7,0.36,0.19,0.09,4.88,447,26.9,5.5,0.13,0.71,57300,93,0.14,0.13
University of Texas at El Paso,Texas,2022-2023,6054,2982,7629,3500,13683,9036,44.8103149,11129,55.1896851,0,0,20165,666,897,805,1347,1563,42.07267833,2152,57.92732167,0,0,3715,44.38442211,55.61557789,23880,748,3.132328308,17697,74.1080402,365,1.528475712,825,3.454773869,35,0.146566164,120,0.502512563,18,0.075376884,157,0.657453936,200,0.837520938,1873,3004,62.35019973,47.3,1889,2950,64.03389831,45.4,75.3,4509,44.41051906,5644,55.58948094,0,0,10153,4908,46.77403984,5585,53.22596016,0,0,10493,1391,371,46.74980101,1571,436,53.25019899,0,0,0,3769,GEDorHSDiplomaAccepted,Yes,3.28,0,Yes,643,44.74599861,794,55.25400139,2412,2258,1437,7.126208778,3,29,71,22,7704,23112,23112,257,770,770,104250522,304869,12423,90.79149309,10717,9525,76.67230138,69.61192721,77,7518,849,4454,54.91,22065,283,13890,19,7.25,1,Yes,0.32,0.07,0.16,14.3,13.7,0.36,0.19,0.09,4.88,447,26.9,5.5,0.13,0.71,57300,93,0.14,0.13
Univeristy of Texas at San Antonio,Texas,2022-2023,10101,4074,11623,3856,21724,14175,47.80130842,15479,52.19869158,0,0,29654,981,1140,1115,1454,2121,45.2238806,2569,54.7761194,0,0,4690,47.44933613,52.55066387,34344,400,1.164686699,17962,52.30025623,2402,6.993943629,5842,17.01024924,35,0.101910086,1671,4.865478686,47,0.136850687,1017,2.961215933,278,0.809457256,1932,4306,44.86762657,53.51,1065,4109,25.91871502,74,80,9562,41.04743507,13733,58.95256493,0,0,23295,7979,39.41609445,12264,60.58390555,0,0,20243,2009,501,44.10472676,2606,575,55.89527324,0,0,0,5691,GEDorHSDiplomaAccepted,Yes,3.715,70,Yes,1476,50.59993144,1441,49.40006856,4655,4181,2917,9.836784245,2,11,89,22,7439,23657,23657,247.95,788.55,788.55,127635476,6887743,17610,81.06241944,14284,12950,73.53776263,59.6114896,54,8388,1569,3013,60,21397,335,5446,26,7.25,1,Yes,0.32,0.07,0.16,14.3,13.7,0.36,0.19,0.09,4.88,447,26.9,5.5,0.13,0.71,57300,93,0.14,0.13
University of Utah,Utah,2022-2023,11035,2570,10256,2494,21291,13605,51.6220831,12750,48.3779169,0,0,26355,3251,815,3528,785,4066,48.5260771,4313,51.4739229,0,0,8379,50.87522312,49.12477688,34734,1603,4.615074567,3626,10.43933898,381,1.096907929,16470,47.41751598,94,0.270628203,2046,5.890481949,119,0.342603789,1542,4.439454137,474,1.364657108,736,3319,22.17535402,65,756,3086,24.49773169,67,85,10629,50.44134396,10443,49.55865604,0,0,21072,9265,49.33177147,9516,50.66822853,0,0,18781,2633,108,49.6557971,2661,118,50.3442029,0,0,0,5520,GEDorHSDiplomaAccepted,Yes,3.66,55,Yes,730,49.5923913,742,50.4076087,3449,3038,1472,5.585277936,33,16,84,21,9103,31861,31861,256,879,879,32707429,62152890,11491,53.97116152,7907,6670,58.04542686,31.32779109,56,9519,5028,7643,33.22,20236,267,12100,18,7.25,1,Yes,0.27,0.06,0.11,20.5,21.3,0.32,0.25,0.07,3.84,261,24.5,5.4,0.02,0.82,57360,101.5,0.12,0.11
George Mason University,Virginia,2022-2023,10848,2926,10663,2577,21511,13774,50.9883764,13240,49.0116236,0,0,27014,2617,2348,2934,4136,4965,41.25467387,7070,58.74532613,0,0,12035,47.9884248,52.0115752,39049,1471,3.767061897,4572,11.70836641,3215,8.23324541,9217,23.60367743,29,0.074265666,6193,15.85956106,29,0.074265666,1427,3.654382955,864,2.212604676,868,3154,27.52060875,70,874,3175,27.52755906,71,85.2,9248,46.23768812,10753,53.76231188,0,0,20001,8147,45.25859674,9854,54.74140326,0,0,18001,2061,85,51.81071946,1944,52,48.18928054,0,0,0,4142,GEDorHSDiplomaAccepted,Yes,3.69,55,Yes,1350,48.75406284,1419,51.24593716,4529,3971,2769,10.25024062,10,21,79,22,9795,33959,33959,396,1374,1374,91503631,37814062,14466,67.2493143,11418,10329,71.40190792,48.01729348,56.7,7924,2490,6787,53,31190,550,10450,16,11,0,No,0.34,0.08,0.08,25.7,14,0.39,0.2,0.1,4.99,209,23.8,5.7,0.21,0.69,65590,103.1,0.13,0.08
Old Dominion University,Virginia,2022-2023,6272,2004,7619,2475,13891,8276,45.03945578,10094,54.93333333,5,0.027210884,18375,576,1245,1110,1801,1821,38.48267117,2911,61.51732883,0,0,4732,43.69671528,56.28164625,23107,209,0.904487818,1868,8.08413035,5922,25.62859739,7742,33.50499849,42,0.181763102,909,3.933872852,48,0.20772926,1237,5.353356126,398,1.722421777,1168,2727,42.83094976,48,1186,2927,40.51930304,49,74,6434,44.5722203,8001,55.4277797,0,0,14435,6084,44.29882045,7650,55.70117955,0,0,13734,1435,27,47.40596628,1588,34,52.59403372,0,0,0,3084,GEDorHSDiplomaAccepted,Yes,3.4,50,Yes,800,44.64285714,992,55.35714286,3139,2912,1792,9.752380952,8,26,74,23,11630,31580,31580,374,1039,1039,82108875,28849094,10903,78.48966957,8589,7258,66.56883427,52.24965805,51,10057,1832,6409,71,31273,20,15000,16,11,0,No,0.34,0.08,0.08,25.7,14,0.39,0.2,0.1,4.99,209,23.8,5.7,0.21,0.69,65590,103.1,0.13,0.08
University of Virginia,Virginia,2022-2023,7260,447,9317,467,16577,7707,44.05006859,9784,55.92135345,5,0.028577961,17496,3231,834,3221,1352,4065,46.97792673,4573,52.84872299,15,0.173350283,8653,45.01892998,54.90458526,26149,837,3.200887223,1240,4.742055146,1259,4.814715668,9133,34.92676584,12,0.045890856,3060,11.70216834,9,0.034418142,977,3.736280546,969,3.705686642,448,3682,12.16730038,95,427,3672,11.62854031,94,97,23200,45.55629737,27740,54.4711935,1,0.001963634,50926,4116,43.31263811,5387,56.68736189,1,0.010522993,9503,1739,0,43.15136476,2291,0,56.84863524,0,0,0,4030,GEDorHSDiplomaAccepted,Yes,3.715,75,Yes,336,45.28301887,405,54.58221024,3562,1245,742,4.240969364,30,38,62,20,18823,55450,55450,653,1869,1869,149074202,35464054,10230,61.71201062,5676,4942,48.30889541,29.81239066,100,30370,1108,5389,32.4,26211,0,0,14,11,0,No,0.34,0.08,0.08,25.7,14,0.39,0.2,0.1,4.99,209,23.8,5.7,0.21,0.69,65590,103.1,0.13,0.08
Virginia Commonwealth University,Virginia,2022-2023,6545,1134,11720,1559,18265,7679,36.63994656,13279,63.36005344,0,0,20958,1646,719,3251,1508,2365,33.19764177,4759,66.80235823,0,0,7124,35.76668328,64.23331672,28082,450,1.602449968,2342,8.339861833,4307,15.33722669,8602,30.63172139,43,0.153122997,3008,10.71148779,34,0.121073998,1688,6.01096788,484,1.723523966,1249,4139,30.1763711,64.5,1043,3522,29.61385576,66.06,84.8,6730,36.57211173,11672,63.42788827,0,0,18402,6010,35.9966459,10686,64.0033541,0,0,16696,1436,19,34.45417949,2732,36,65.54582051,0,0,0,4223,GEDorHSDiplomaAccepted,Yes,3.72,70,Yes,596,39.9463807,896,60.0536193,2922,2486,1492,7.118999905,6.14,26.56,73.44,21,12472,33728,33728,443,1198,1198,115105925,19515984,13772,75.40104024,1065,9897,71.8632007,54.18560088,49.71,12487,2261,7944,60.76,31085,162,16757,16,11,0,No,0.34,0.08,0.08,25.7,14,0.39,0.2,0.1,4.99,209,23.8,5.7,0.21,0.69,65590,103.1,0.13,0.08
Virginia Tech,Virginia,2022-2023,16740,567,12764,292,29504,17307,56.86731945,13056,42.89938884,71,0.233291713,30434,3069,1140,2579,848,4209,54.40796277,3427,44.29937952,100,1.292657704,7736,56.36887608,43.18312811,38170,1380,3.615404768,2904,7.608069164,1807,4.734084359,18166,47.59235001,34,0.08907519,3733,9.779931884,37,0.096934766,1592,4.170814776,781,2.04610951,818,5863,13.95190176,86.6,1065,4109,25.91871502,74,91,26376,58.19818627,11831,26.10489618,114,0.251539022,45321,13843,53.60309777,11919,46.15295257,63,0.243949661,25825,3949,5,55.17722579,3193,3,44.59949763,16,0,0.223276584,7166,HSDNoGED,Yes,4.03,60,Yes,619,62.08625878,376,37.71313942,2890,1666,997,3.275941381,29,33,67,20,12698,33310,33310,529,1388,1388,47883727,57658642,18745,63.53375813,10799,8563,45.68151507,29.0231833,53.9,8153,2905,3348,46.3,32376,0,0,17,11,0,No,0.34,0.08,0.08,25.7,14,0.39,0.2,0.1,4.99,209,23.8,5.7,0.21,0.69,65590,103.1,0.13,0.08
University of Washington,Washington,2022-2023,12729,3554,17108,3481,29837,16283,44.16088089,20589,55.83911911,0,0,36872,5673,1357,7630,1551,7030,43.36561594,9181,56.63438406,0,0,16211,43.91801518,56.08198482,53083,4483,8.445264962,3072,5.787163499,1154,2.173953997,11063,20.8409472,104,0.195919598,8680,16.35175103,100,0.188384228,2473,4.65874197,5743,10.81890624,1294,6413,20.17776392,84.41,1423,6735,21.12843356,83.93,93.59,22714,43.27465325,29774,56.72534675,0,0,52488,9469,37.96407666,15473,62.03592334,0,0,24942,3010,30,40.99797707,4330,45,59.00202293,0,0,0,7415,NoHSDRequired,No,3.83,80,Yes,630,46.12005857,736,53.87994143,4635,2140,1366,3.70470818,23,29,71,20,11189,39687,39687,373,1323,1323,191208522,16001557,16845,56.45674833,10974,10295,61.11605818,34.50413916,74,18188,2879,4090,28,18136,0,0,21,14.49,0,No,0.3,0.07,0.08,22.2,15.8,0.33,0.23,0.09,4.55,294,22.5,4.5,0.05,0.77,72350,115.1,0.15,0.08
Washington State University,Washington,2022-2023,9396,1197,10416,1603,19812,10593,46.84680701,12019,53.15319299,0,0,22612,1336,758,1980,853,2094,42.50050741,2833,57.49949259,0,0,4927,46.06921094,53.93078906,27539,734,2.665311013,3720,13.50811576,634,2.302189622,13431,48.77083409,140,0.508369948,1599,5.80631105,129,0.468426595,1684,6.114964233,541,1.964486728,1223,4449,27.48932344,61.99,1539,4625,33.27567568,59.55,80.5,8141,41.96175455,11260,58.03824545,0,0,19401,6681,41.4376977,9442,58.5623023,0,0,16123,1845,42,47.28138311,2052,52,52.71861689,0,0,0,3991,GEDorHSDiplomaAccepted,No,3.5,70,Yes,930,46.26865672,1080,53.73134328,4974,3614,2010,8.889085441,15,23,77,22,10976,27052,27052,578,1382,1382,116520604,8909656,15504,78.25560267,10851,10044,64.78328173,50.69654755,70,12504,4449,5445,49.5,25559,287,14735,14,14.49,0,No,0.3,0.07,0.08,22.2,15.8,0.33,0.23,0.09,4.55,294,22.5,4.5,0.05,0.77,72350,115.1,0.15,0.08
University of Wisconsin - Madison,Wisconsin,2022-2023,15790,1726,18098,1616,33888,17516,47.04807951,19714,52.95192049,0,0,37230,4894,1030,5522,1210,5924,46.80783818,6732,53.19216182,0,0,12656,46.98713066,53.01286934,49886,3860,7.737641823,2726,5.464458966,888,1.780058533,23275,46.65637654,87,0.174397627,3523,7.062101592,25,0.050114261,1609,3.225353807,1237,2.47965361,710,6430,11.04199067,89.2,741,6270,11.81818182,89,94.2,29575,49.07899104,30685,50.92100896,0,0,60260,13390,45.31916334,16156,54.68083666,0,0,29546,3904,14,45.41029207,4701,9,54.58970793,0,0,0,8628,GEDorHSDiplomaAccepted,Yes,3.88,60,Yes,595,51.55979203,559,48.44020797,3974,2102,1154,3.099650819,46,26,74,20,10970,31415,31520,385,1137,1137,152724273,37927701,18270,53.91288952,10405,8670,47.45484401,25.58427762,81,18070,2557,6296,36.98,27495,0,0,18,7.25,1,Yes,0.32,0.08,0.07,26.9,14.8,0.36,0.2,0.09,4.17,323,23.9,6,0.07,0.86,56120,95,0.14,0.1
University of Wisconsin - Milwaukee,Wisconsin,2022-2023,6804,1665,8188,2094,14992,8469,45.16559117,10282,54.83440883,0,0,18751,866,804,1370,1347,1670,38.06701618,2717,61.93298382,0,0,4387,43.81779679,56.1778815,23139,378,1.633605601,2607,11.2666926,1343,5.804053762,11952,51.65305329,62,0.267945892,1368,5.912096461,19,0.082112451,818,3.535157094,205,0.885950127,1114,3066,36.33398565,48,1065,4109,25.91871502,74,72.08,6486,42.2403126,8869,57.7596874,0,0,15355,6140,42.00300999,8478,57.99699001,0,0,14618,1487,63,45.98042124,1733,88,54.01957876,0,0,0,3371,GEDorHSDiplomaAccepted,Yes,3.19,0,Yes,592,47.89644013,644,52.10355987,2280,2129,1236,6.591648445,12,18,82,24,10970,31415,31520,385,1137,1137,48809832,20458995.36,12134,80.93649947,8794,6769,55.78539641,45.15074707,50.9,6889,1153,1443,67.96,34244,37,3739,16,7.25,1,Yes,0.32,0.08,0.07,26.9,14.8,0.36,0.2,0.09,4.17,323,23.9,6,0.07,0.86,56120,95,0.14,0.1
