University Name ,State,PercentUndergradMenEnrolled,NPercentUndergradMenEnrolled,PercentUndergradWomenEnrolled,NPercentUndergradWomenEnrolled,PercentUndergradOtherGenderEnrolled,NPercentUndergradOtherGenderEnrolled,TotalUndergraduateEnrolled,NTotalUndergraduateEnrolled,PercentGraduateMenEnrolled,NPercentGraduateMenEnrolled,PercentGraduateWomenEnrolled,NPercentGraduateWomenEnrolled,PercentGraduateOtherGenderEnrolled,NPercentGraduateOtherGenderEnrolled,TotalGraduateEnrolled,NTotalGraduateEnrolled,PercentMenEnrolled,NPercentMenEnrolled,PercentWomenEnrolled,NPercentWomenEnrolled,TotalAllStudentsEnrolled,NTotalAllStudentsEnrolled,PercentNonResidentUndergrad,NPercentNonResidentUndergrad,PercentHispanicUndergrad,NPercentHispanicUndergrad,PercentBlackUndergrad,NPercentBlackUndergrad,PercentWhiteUndergrad,NPercentWhiteUndergrad,PercentNativeAmericanUndergrad,NPercentNativeAmericanUndergrad,PercentAsianUndergrad,NPercentAsianUndergrad,PercentPacificIslanderUndergrad,NPercentPacificIslanderUndergrad,Percent2016CohortGotPellGrants,NPercent2016CohortGotPellGrants,TotalSixYearGraduation Rate %2016Cohort,NTotalSixYearGraduation Rate %2016Cohort,RetentionRateUndergradFirstYear%,NRetentionRateUndergradFirstYear%,PercentFTFYMenApplied,NPercentFTFYMenApplied,PercentFTFYWomenApplied,NPercentFTFYWomenApplied,PercentFTFYOtherGenderApplied,NPercentFTFYOtherGenderApplied,FTFYTotalApplied,NFTFYTotalApplied,PercentFTFYMenAdmitted,NPercentFTFYMenAdmitted,PercentFTFYWomenAdmitted,NPercentFTFYWomenAdmitted,PercentOtherGenderAdmitted,NPercentOtherGenderAdmitted,FTFYTotalAdmitted,NFTFYTotalAdmitted,PercentFTFYMenEnrolled,NPercentFTFYMenEnrolled,PercentFTFYWomenEnrolled,NPercentFTFYWomenEnrolled,PercentFTFYOtherGenderEnrolled,NPercentFTFYOtherGenderEnrolled,FTFYTotalEnrolled,NFTFYTotalEnrolled,HSCompletionRequirement,ACTUsedForAdmissionDecisions?,FTFYGPAAvg,NFTFYGPAAvg,ResidentApplicationFee(inDollars),NResidentApplicationFee(inDollars),ApplicationFeeCanBeWaived?,PercentTransferMenEnrolled,NPercentTransferMenEnrolled,PercentTransferWomenEnrolled,NPercentTransferWomenEnrolled,PercentEnrolledStudentsTransfer,NPercentEnrolledStudentsTransfer,PercentUndergradOutOfState,NPercentUndergradOutOfState,PercentUndergradOnCampus,NPercentUndergradOnCampus,PercentUndergradOffCampus,NPercentUndergradOffCampus,AverageUndergradStudentAge,NAverageUndergradStudentAge,InStateTuitionCost,NInStateTuitionCost,OutStateTuitionCost,NOutStateTuitionCost,NonresidentTuitionCost,NNonresidentTuitionCost,TotalNeedBasedScholarship,NTotalNeedBasedScholarship,TotalNonNeedScholarship,NTotalNonNeedScholarship,PercentUndergradApplyForNeedBasedFinancialAid,NPercentUndergradApplyForNeedBasedFinancialAid,PercentUndergradAppliedNeedBasedFinancialAidReceived,NPercentUndergradAppliedNeedBasedFinancialAidReceived,PercentUndergradGotNeedBasedFinancialAid,NPercentUndergradGotNeedBasedFinancialAid,PercentOfNeed-BasedAidMetForStudents,NPercentOfNeed-BasedAidMetForStudents,AvgNeedBasedScholarshipAmount,NAvgNeedBasedScholarshipAmount,NoFinancialNeedFTStudentsAwardedScholarship,NNoFinancialNeedFTStudentsAwardedScholarship,AvgNoNeedScholarship,NAvgNoNeedScholarship,PercentFirstTimeStudentsBorrowedAnyLoanProgram,NPercentFirstTimeStudentsBorrowedAnyLoanProgram,FirstTimeStudentsAvgBorrowedAnyLoanProgram,NFirstTimeStudentsAvgBorrowedAnyLoanProgram,NonresidentStudentsAwardedAid,NNonresidentStudentsAwardedAid,AvgAmountAwardedNonresidentStudents,NAvgAmountAwardedNonresidentStudents,Student/FacultyRatio,NStudent/FacultyRatio,Current Minimum Wage,NCurrent Minimum Wage,Preemption,PreemptionCat,NPreemption,Hypertension,NHypertension,Cardiovascular Disease,NCardiovascular Disease,Avoided Care Due To Cost,NAvoided Care Due To Cost,Drug Deaths (per 100.000),NDrug Deaths (per 100.000),Suicide (per 100.000),NSuicide (per 100.000),High Cholesterol,NHigh Cholesterol,Depression Women,NDepression Women,Multiple Chronic Conditions,NMultiple Chronic Conditions,Income Inequality,NIncome Inequality,Violent Crime Rate (per 100.000),NViolent Crime Rate (per 100.000),Child Mortality,NChild Mortality,Infant Mortality (per 100.000),NInfant Mortality (per 100.000),Percent Black,NPercent Black,Percent White,NPercent White,Median Wage,NMedian Wage,Cost Of Living Index,NCost Of Living Index,Housing Insecurity,NHousing Insecurity,Food Insecurity,NFoodInsecurity
Binghamton University,New York,47.44479933,0.03889664,52.55520067,-0.031392567,0,-0.256262197,14402,-0.97322725,50.89514066,0.734892682,49.10485934,-0.577622705,0,-0.248704113,3910,-0.894485656,48.18152031,0.232608789,51.81847969,-0.219141758,18312,-1.053052458,3.129095675,-0.073633398,10.33202272,-0.102644831,3.658802971,-0.386789576,43.45784185,0.150230079,0.0382263,-0.42887437,13.54849279,0.689462039,0.0054609,-0.157502745,22.11283605,-0.433362408,82.49,0.777189201,90.7,0.623719686,44.35425772,-0.019319023,55.64574228,0.073984382,0,-0.24365733,41642,0.127750667,42.46433502,-0.053623965,57.53566498,0.099702741,0,-0.246166294,17384,-0.368853647,45.05954297,-0.147929805,54.94045703,-0.04292414,0,-0.241001764,3107,-0.869674497,GEDorHSDiplomaAccepted,Yes,3.89,0.69016613,50,-0.202588968,Yes,51.8102372,0.478295347,48.1897628,-0.439509926,5.561727538,-0.232331734,8,-0.929683248,50,1.560112522,50,-1.406203009,20,-0.952089623,7070,-1.137627208,24910,-0.863685401,24910,-0.885856566,66807667,-0.684852075,12080386,-0.75334253,73.10751314,0.164791095,58.43613405,-0.087748909,42.72120437,0.005045764,68,0.276789765,10848,-0.154521972,799,-0.98135533,8887,0.587623332,51,0.259399111,25975,-0.192296467,154,-0.255964333,4726,-0.594097271,19,0.398510349,13.2,1.270091024,0,No,-1.260574622,0.31,-0.626357823,0.08,-0.333024991,0.08,-0.695673142,25.3,-0.204734281,8.3,-1.673367902,0.36,0.036614049,0.17,-1.095538319,0.09,-0.571548283,5.82,2.327582889,364,-0.22058609,17.9,-1.501597505,4.3,-1.341553159,0.17,0.277222308,0.66,-0.841798182,74870,1.922733257,125.1,1.431200071,0.2,2.016440715,0.1,-0.307242104
Stony Brook University,New York,49.17471015,0.325777637,50.82528985,-0.316502238,0,-0.256262197,17509,-0.697061995,43.54347031,-0.13031601,56.45652969,0.236724784,0,-0.248704113,8201,-0.058856696,47.37845196,0.104249948,52.62154804,-0.091554163,25710,-0.543273575,6.779463244,1.452514695,9.94554648,-0.136672683,4.076234928,-0.319869514,18.59976663,-1.324605435,0.046674446,-0.416424212,22.91326332,1.941715413,0.042784909,-0.126741352,34.56158308,0.612572263,78,0.434195529,87.83,0.221574196,44.65973885,0.029712273,55.34026115,0.029095439,0,-0.24365733,40513,0.08601645,41.81233675,-0.16829806,58.18766325,0.216525995,0,-0.246166294,19908,-0.123673385,48.13265611,0.210593495,51.86734389,-0.32191136,0,-0.241001764,3347,-0.771250325,GEDorHSDiplomaAccepted,Yes,3.715,-0.100649227,50,-0.202588968,Yes,44.3596268,-0.656596918,55.6403732,0.683603513,6.733679822,0.216879731,7,-0.991699717,50,1.560112522,50,-1.406203009,20,-0.952089623,7070,-1.137627208,24990,-0.853435985,24990,-0.875623546,87516028,-0.426095426,16087518,-0.658591175,74.92380836,0.322906406,71.06247966,0.896782808,53.24271608,0.863205657,62.5,-0.090093623,9848,-0.36472706,1849,-0.609311235,5619,-0.33368157,46,-0.198739684,23899,-0.555777124,250,0.008170848,5200,-0.53902208,19,0.398510349,13.2,1.270091024,0,No,-1.260574622,0.31,-0.626357823,0.08,-0.333024991,0.08,-0.695673142,25.3,-0.204734281,8.3,-1.673367902,0.36,0.036614049,0.17,-1.095538319,0.09,-0.571548283,5.82,2.327582889,364,-0.22058609,17.9,-1.501597505,4.3,-1.341553159,0.17,0.277222308,0.66,-0.841798182,74870,1.922733257,125.1,1.431200071,0.2,2.016440715,0.1,-0.307242104
"University at Albany, SUNY",New York,45.69471624,-0.25132964,54.30528376,0.257041731,0,-0.256262197,12264,-1.163263078,36.32225762,-0.980171307,63.67774238,1.036621424,0,-0.248704113,4394,-0.800231539,43.22247569,-0.560022648,56.77752431,0.56872714,16658,-1.167025731,2.389242406,-0.382951743,13.65710169,0.190116495,16.01632849,1.594291093,30.18369552,-0.637328179,0.210109257,-0.175567915,6.861568015,-0.20471087,0.054028095,-0.117475035,45,1.489600461,64.4,-0.604716263,82.7,-0.497243351,42.79897046,-0.268950642,57.20102954,0.302526163,0,-0.24365733,26031,-0.449320069,40.58963332,-0.383348338,59.41036668,0.435606628,0,-0.246166294,17672,-0.340877452,42.02187854,-0.502317498,57.97812146,0.232844931,0,-0.241001764,2651,-1.056680425,GEDorHSDiplomaAccepted,Yes,3.715,-0.100649227,50,-0.202588968,Yes,51.68408827,0.459080083,48.31591173,-0.420494094,7.020547945,0.326836809,4,-1.177749123,51.8,1.707162163,45.2,-1.768268283,21,-0.004879567,7070,-1.137627208,24910,-0.863685401,24910,-0.885856566,71139062,-0.630730107,12004809,-0.7551296,83.38965428,1.059890043,75.66500416,1.255661892,63.09678537,1.666927335,55,-0.590389153,9690,-0.397939464,2051,-0.537737038,3983,-0.794897855,66,1.633815498,26652,-0.073762553,213,-0.093631253,7168,-0.310355463,17.7,-0.032013297,13.2,1.270091024,0,No,-1.260574622,0.31,-0.626357823,0.08,-0.333024991,0.08,-0.695673142,25.3,-0.204734281,8.3,-1.673367902,0.36,0.036614049,0.17,-1.095538319,0.09,-0.571548283,5.82,2.327582889,364,-0.22058609,17.9,-1.501597505,4.3,-1.341553159,0.17,0.277222308,0.66,-0.841798182,74870,1.922733257,125.1,1.431200071,0.2,2.016440715,0.1,-0.307242104
University at Buffalo,New York,53.61495111,1.062128169,46.38504889,-1.048306225,0,-0.256262197,20761,-0.408008435,48.28893985,0.428172238,51.71106015,-0.28893279,0,-0.248704113,11338,0.552042406,51.73369887,0.80037307,48.26630113,-0.783494617,32099,-0.103022523,8.174709493,2.035840171,5.573382348,-0.521626117,5.629458862,-0.070866434,29.36540079,-0.6858778,0.127729836,-0.296971686,11.23087947,0.379551712,0.040499704,-0.128624753,32.3237465,0.424550861,73.5,0.09043795,84,-0.315086858,48.214228,0.600226097,51.785772,-0.493219185,0,-0.24365733,30939,-0.267892667,46.65361848,0.683191318,53.34638152,-0.65092153,0,-0.246166294,20948,-0.022648237,51.98102017,0.659561078,48.01897983,-0.671278383,0,-0.241001764,4215,-0.415282901,GEDorHSDiplomaAccepted,Yes,3.8,0.283461089,50,-0.202588968,Yes,53.55575066,0.744175539,51.97541703,0.131143874,5.486248254,-0.261263082,3,-1.239765592,30,-0.073772379,70,0.1024023,21,-0.004879567,7070,-1.137627208,24990,-0.853435985,24990,-0.875623546,101313580,-0.25369123,7573914,-0.85990112,75.38913055,0.363414447,66.25651721,0.522040772,49.95021225,0.594661097,51,-0.857213436,8513,-0.645350852,980,-0.917222014,4097,-0.762759312,58,0.900793425,37039,1.744866342,599,0.968412288,6381,-0.401798871,12,-1.919693897,13.2,1.270091024,0,No,-1.260574622,0.31,-0.626357823,0.08,-0.333024991,0.08,-0.695673142,25.3,-0.204734281,8.3,-1.673367902,0.36,0.036614049,0.17,-1.095538319,0.09,-0.571548283,5.82,2.327582889,364,-0.22058609,17.9,-1.501597505,4.3,-1.341553159,0.17,0.277222308,0.66,-0.841798182,74870,1.922733257,125.1,1.431200071,0.2,2.016440715,0.1,-0.307242104
North Carolina State University,North Carolina,50.60943094,0.563705584,49.39056906,-0.552961116,0,-0.256262197,26254,0.080236092,51.27321463,0.779387724,48.72678537,-0.619502111,0,-0.248704113,10446,0.378334405,50.79836512,0.65087352,49.20163488,-0.634893339,36700,0.21402163,2.136239782,-0.488727248,5.683923706,-0.511893345,4.196185286,-0.300639828,47.69754768,0.401772835,0.253405995,-0.111760873,6.653950954,-0.232473341,0.051771117,-0.119335173,18.46846847,-0.739559522,86,1.045320112,93.79,1.056691659,49.01185771,0.728249776,50.98814229,-0.610426931,0,-0.24365733,35420,-0.102249597,44.09945349,0.233962275,55.90054651,-0.193273282,0,-0.246166294,16651,-0.440056948,48.11337787,0.208344408,51.88662213,-0.320161218,0,-0.241001764,5539,0.127690451,GEDorHSDiplomaAccepted,Yes,3.84,0.464218885,85,1.630232893,Yes,56.65101721,1.215652892,43.34898279,-1.16921458,4.867829664,-0.498304065,10,-0.80565031,36,0.416393091,79,0.781274688,20,-0.952089623,6535,-1.30231366,29406,-0.287668266,29406,-0.310760846,109666706,-0.14931663,23544067,-0.482276013,68.60835991,-0.226877067,59.10814779,-0.035349041,40.55313077,-0.171787552,76.2,0.823779544,10883,-0.147164794,1744,-0.646515644,5032,-0.499166875,47,-0.107111925,24042,-0.53073968,162,-0.233953068,19029,1.067802435,16,-0.595005756,7.25,-0.965252481,1,Yes,0.785275994,0.35,0.302622319,0.1,0.784584301,0.11,0.380446249,29.8,0.251539466,13.6,-0.353439853,0.37,0.489712906,0.21,0.247598444,0.11,0.298963717,4.84,0.010745997,419,0.24767561,27.3,-0.01769962,6.8,0.87792817,0.22,0.81535973,0.68,-0.636784602,56220,-0.42571946,96.1,-0.388460442,0.14,-0.398409657,0.11,0.183354159
University of North Carolina at Chapel Hill,North Carolina,39.74270163,-1.238386236,60.25729837,1.238003815,0,-0.256262197,20210,-0.456983992,39.93525854,-0.554961844,60.06474146,0.636407856,0,-0.248704113,11739,0.630133111,39.81345269,-1.104905586,60.18654731,1.11033614,31949,-0.113358672,3.921875489,0.257812512,6.003317788,-0.483771837,5.223950671,-0.135874954,34.39857273,-0.387258512,0.194059282,-0.199221001,8.726407712,0.044654749,0.031299884,-0.136206985,19.12878788,-0.684079965,91.3,1.450190148,95.9,1.35234566,41.70147324,-0.445104601,58.29852676,0.463797959,0,-0.24365733,57221,0.703638503,40.07261411,-0.474282183,59.92738589,0.528244706,0,-0.246166294,9640,-1.12110244,37.85794814,-0.98810048,62.14205186,0.610860094,0,-0.241001764,4435,-0.325060743,HSDNoGED,Yes,4.47,3.311154171,85,1.630232893,Yes,49.16943522,0.076042971,50.83056478,-0.041432449,4.468085106,-0.651526888,14,-0.557584434,44,1.069947052,56,-0.953621416,20,-0.952089623,7020,-1.153018465,37360,0.731379841,37360,0.706657161,121094542,-0.006522685,21819005,-0.523066274,56.17089425,-1.309605098,63.45994666,0.303979863,35.64601953,-0.57202339,100,2.411384026,17336,1.209288636,1357,-0.783640468,6111,-0.194978384,33,-1.389900552,20680,-1.119382247,0,-0.679681185,0,-1.143222491,15,-0.926177791,7.25,-0.965252481,1,Yes,0.785275994,0.35,0.302622319,0.1,0.784584301,0.11,0.380446249,29.8,0.251539466,13.6,-0.353439853,0.37,0.489712906,0.21,0.247598444,0.11,0.298963717,4.84,0.010745997,419,0.24767561,27.3,-0.01769962,6.8,0.87792817,0.22,0.81535973,0.68,-0.636784602,56220,-0.42571946,96.1,-0.388460442,0.14,-0.398409657,0.11,0.183354159
North Dakota State University,North Dakota,49.28684628,0.344373812,50.71315372,-0.334983592,0,-0.256262197,10096,-1.355965451,48.04287046,0.399212646,51.95712954,-0.261675585,0,-0.248704113,2146,-1.23800686,49.06877961,0.374424334,50.93122039,-0.360105202,12242,-1.471321966,0.759679791,-1.064240361,2.630289168,-0.780754959,2.646626368,-0.549055355,70.71556935,1.767437534,0.408429995,0.116700287,1.192615586,-0.962760924,0.0326744,-0.135074147,20.11331445,-0.601360759,63.17,-0.698676668,75.22,-1.545343791,42.8705331,-0.25746447,57.1294669,0.292010387,0,-0.24365733,8535,-1.096071053,42.50551065,-0.046381955,57.49448935,0.092325005,0,-0.246166294,8166,-1.264286159,47.35376045,0.119723999,52.64623955,-0.251200675,0,-0.241001764,2513,-1.113274325,GEDorHSDiplomaAccepted,No,3.51,-1.027032932,0,-2.820905912,Yes,48.61878453,-0.007833272,51.38121547,0.041573259,5.37836767,-0.302613908,59,2.233156667,37,0.498087337,63,-0.425609558,21,-0.004879567,10970,0.062890853,31415,-0.030279827,31520,-0.040353294,20991910,-1.257332523,6687508,-0.880860791,78.78618531,0.659140804,48.30472407,-0.877739518,38.05744942,-0.375341347,47.3,-1.104025897,6407,-1.088042767,1094,-0.876828655,2403,-1.240326786,67,1.725443257,33491,1.123657589,56,-0.52560233,7581,-0.262368007,16,-0.595005756,7.25,-0.965252481,1,Yes,0.785275994,0.31,-0.626357823,0.08,-0.333024991,0.07,-1.054379605,14.7,-1.27951244,18,0.742349471,0.34,-0.869583664,0.2,-0.088185747,0.09,-0.571548283,4.58,-0.603925016,329,-0.518570808,25.9,-0.238705688,6.5,0.611590411,0.04,-1.121934989,0.86,1.208337611,55800,-0.478606867,94.6,-0.482580813,0.1,-2.008309906,0.08,-1.288434631
Kent State University,Ohio,37.82446861,-1.55649778,62.17553139,1.554151201,0,-0.256262197,20418,-0.438495942,33.57247976,-1.303789151,66.42752024,1.341215426,0,-0.248704113,5436,-0.597312551,36.93045564,-1.565710897,63.06954436,1.568372694,25854,-0.533350872,2.483174751,-0.343680446,3.310899667,-0.720829635,6.958304324,0.142165702,59.36025373,1.093723958,0.119904077,-0.308504622,1.802429025,-0.881216915,0.050282355,-0.120562168,32.3794138,0.429227987,65.9,-0.490130404,78.48,-1.088551354,38.0381953,-1.033079587,61.9618047,1.002098558,0,-0.24365733,20369,-0.65861957,36.97361816,-1.019336629,63.02638184,1.083514264,0,-0.246166294,17929,-0.315912584,36.32328895,-1.167140773,63.67671105,0.750181454,0,-0.241001764,4281,-0.388216253,GEDorHSDiplomaAccepted,Yes,3.65,-0.394380646,50,-0.202588968,Yes,44.43113772,-0.645704228,55.56886228,0.672823876,4.089528847,-0.796628198,15.8,-0.44595479,29.6,-0.106450077,70.4,0.132574406,21,-0.004879567,10970,0.062890853,31415,-0.030279827,31520,-0.040353294,93755673,-0.348129351,30760180,-0.311646123,76.22173596,0.435895871,66.97092381,0.577746197,51.04640072,0.684068875,64.8,0.063330339,10009,-0.330884041,4658,0.385995301,5319,-0.418256684,69,1.908698775,30770,0.647245803,243,-0.011089009,10247,0.047400895,19,0.398510349,9.3,-0.195092114,1,Yes,0.785275994,0.36,0.534867354,0.1,0.784584301,0.08,-0.695673142,45.4,1.833288456,14.1,-0.228918339,0.36,0.036614049,0.22,0.583382634,0.13,1.169475718,4.69,-0.343871895,309,-0.68884779,27.6,0.029658823,6.9,0.966707423,0.14,-0.045660145,0.83,0.900817242,56530,-0.386683516,94,-0.520228962,0.13,-0.800884719,0.11,0.183354159
Ohio State University,Ohio,50.27172759,0.507702308,49.72827241,-0.497303628,0,-0.256262197,47106,1.933663161,41.57573262,-0.361896545,58.42426738,0.454691881,0,-0.248704113,14571,1.18163654,48.21732575,0.23833177,51.78267425,-0.224830352,61677,1.935128302,5.125087148,0.76085204,3.973928693,-0.662452298,5.841723819,-0.036837453,49.14149521,0.487442585,0.050261848,-0.411137405,6.605379639,-0.238968277,0.042155098,-0.127260424,17.17214865,-0.84847537,88,1.198101258,93.9,1.072104901,48.1041595,0.582559536,51.8958405,-0.477045163,0,-0.24365733,58180,0.739088559,46.64402296,0.681503648,53.35597704,-0.649202231,0,-0.246166294,33269,1.174208346,46.17119791,-0.018239104,53.82880209,-0.143843796,0,-0.241001764,8423,1.310420925,GEDorHSDiplomaAccepted,Yes,3.715,-0.100649227,60,0.321074421,Yes,52.56038647,0.592559623,47.43961353,-0.552588276,4.394344669,-0.679791733,20,-0.185485621,32,0.089616111,68,-0.048458231,21,-0.004879567,11936,0.360249942,36173,0.579304143,39101,0.929353258,211374563,1.121550934,94451679,1.1943826,66.87182107,-0.378049286,55.84690723,-0.289642315,37.34584388,-0.433381612,72,0.543614048,13137,0.326637473,9633,2.148775656,7124,0.090603582,46,-0.198739684,26772,-0.05275211,20,-0.624653023,1665,-0.949762167,18,0.067338314,9.3,-0.195092114,1,Yes,0.785275994,0.36,0.534867354,0.1,0.784584301,0.08,-0.695673142,45.4,1.833288456,14.1,-0.228918339,0.36,0.036614049,0.22,0.583382634,0.13,1.169475718,4.69,-0.343871895,309,-0.68884779,27.6,0.029658823,6.9,0.966707423,0.14,-0.045660145,0.83,0.900817242,56530,-0.386683516,94,-0.520228962,0.13,-0.800884719,0.11,0.183354159
Ohio University,Ohio,39.26651736,-1.317354595,60.73348264,1.316484589,0,-0.256262197,17860,-0.66586341,41.28957401,-0.395574187,58.71042599,0.486389785,0,-0.248704113,6033,-0.481052824,39.77734064,-1.110677574,60.22265936,1.116073447,23893,-0.668478797,0.878918512,-1.014388958,3.323149039,-0.719751122,4.076507764,-0.319825774,60.52818817,1.163017786,0.062779894,-0.392689375,1.222115264,-0.958816239,0.046038589,-0.12405976,27.59103641,0.026912002,64.7,-0.581799091,79,-1.015688756,40.40755865,-0.652784561,59.59244135,0.653932317,0,-0.24365733,24978,-0.488244897,39.46783896,-0.58065063,60.53216104,0.636606651,0,-0.246166294,21610,0.041658155,41.11686557,-0.60790041,58.88313443,0.315004956,0,-0.241001764,4441,-0.322600138,GEDorHSDiplomaAccepted,Yes,3.745,0.03491912,50,-0.202588968,Yes,50.64516129,0.300828594,49.35483871,-0.263885066,1.735722284,-1.69884658,13,-0.619600903,49,1.478418277,51,-1.330772743,20,-0.952089623,10970,0.062890853,31415,-0.030279827,31520,-0.040353294,85222563,-0.4547529,13817693,-0.712262727,73.18222162,0.171294748,59.07267469,-0.038115035,43.23069571,0.046601108,60.5,-0.223505765,8869,-0.570517841,1411,-0.764506772,6021,-0.220350918,64.38,1.485378528,28635,0.273435011,128,-0.327500944,5936,-0.453504484,18,0.067338314,9.3,-0.195092114,1,Yes,0.785275994,0.36,0.534867354,0.1,0.784584301,0.08,-0.695673142,45.4,1.833288456,14.1,-0.228918339,0.36,0.036614049,0.22,0.583382634,0.13,1.169475718,4.69,-0.343871895,309,-0.68884779,27.6,0.029658823,6.9,0.966707423,0.14,-0.045660145,0.83,0.900817242,56530,-0.386683516,94,-0.520228962,0.13,-0.800884719,0.11,0.183354159
University of Cincinnati,Ohio,49.28807229,0.344577128,50.69192037,-0.338483098,0.020007336,-0.215633976,29989,0.412221039,38.27310632,-0.750578416,61.28387769,0.771452068,0.443015983,0.166873402,11512,0.585927151,46.2326209,-0.078894546,53.63003301,0.068669026,41501,0.544847315,3.445700104,0.058732791,3.021613937,-0.746300211,5.457699814,-0.098401763,51.68791113,0.638522047,0.0987928,-0.339616623,3.828823402,-0.610248268,0.036143707,-0.132214843,19.90349819,-0.618989368,72.1,-0.016508852,86.2,-0.006822023,45.61742007,0.183425044,54.38257993,-0.111631086,0,-0.24365733,29024,-0.338681884,46.04963434,0.576961995,53.95036566,-0.542701315,0,-0.246166294,25023,0.373195491,49.88224211,0.414708123,50.11775789,-0.480744475,0,-0.241001764,6369,0.468074048,GEDorHSDiplomaAccepted,Yes,3.74,0.012324395,50,-0.202588968,Yes,37.34224202,-1.725499367,62.65775798,1.741412031,4.491646937,-0.642495595,19,-0.24750209,25,-0.482243604,75,0.479553627,21,-0.004879567,10970,0.062890853,31415,-0.030279827,31520,-0.040353294,74457638,-0.58926359,37092895,-0.161904779,63.07322266,-0.708731524,50.52513128,-0.704604599,31.86782856,-0.880181765,46,-1.190743789,8693,-0.607513936,5308,0.616308312,6182,-0.174962274,56.8,0.790840114,24936,-0.374211882,765,1.425146038,13211,0.391795129,18,0.067338314,9.3,-0.195092114,1,Yes,0.785275994,0.36,0.534867354,0.1,0.784584301,0.08,-0.695673142,45.4,1.833288456,14.1,-0.228918339,0.36,0.036614049,0.22,0.583382634,0.13,1.169475718,4.69,-0.343871895,309,-0.68884779,27.6,0.029658823,6.9,0.966707423,0.14,-0.045660145,0.83,0.900817242,56530,-0.386683516,94,-0.520228962,0.13,-0.800884719,0.11,0.183354159
Oklahoma State University Stillwater,Oklahoma,47.98327004,0.128194315,52.01672996,-0.12013888,0,-0.256262197,20801,-0.404453041,49.03466433,0.515935599,50.96533567,-0.371536992,0,-0.248704113,4558,-0.768294193,48.17224654,0.231126512,51.82775346,-0.217668387,25359,-0.567460164,1.723254072,-0.661388587,7.523955992,-0.349885075,3.422847904,-0.424616407,54.89569778,0.828840792,3.809298474,5.128610431,1.695650459,-0.895495302,0.059150597,-0.113253214,25.6122449,-0.139344622,65,-0.558881919,84,-0.315086858,42.54851703,-0.309149708,57.44625203,0.338560397,0.005230946,-0.235361808,19117,-0.704900562,44.33088943,0.274667455,55.66911057,-0.234741337,0,-0.246166294,13503,-0.7458523,47.31854404,0.115615493,52.68145596,-0.248003615,0,-0.241001764,4643,-0.239759793,GEDorHSDiplomaAccepted,Yes,3.61,-0.575138442,40,-0.726252356,Yes,47.90382244,-0.116737765,52.09617756,0.149347453,7.797702034,0.6247214,28.49,0.3410342,43.92,1.063411512,56.08,-0.947586995,21,-0.004879567,5416.5,-1.646616083,20937,-1.372696983,20937,-1.394053919,64006908.35,-0.719848323,14287623.83,-0.701150894,69.07533494,-0.18622514,56.47853736,-0.240391335,39.01273885,-0.297425635,67.2,0.223424909,8338,-0.682136742,5936,0.838826114,6643,-0.044998517,49,0.076143593,25642,-0.250600445,194,-0.145908007,8333,-0.174991333,18,0.067338314,7.25,-0.965252481,1,Yes,0.785275994,0.39,1.23160246,0.11,1.343388948,0.14,1.45656564,19.8,-0.762402194,22.2,1.788330189,0.38,0.942811762,0.24,1.254951016,0.12,0.734219717,4.7,-0.320230702,459,0.588229573,33,0.8821108,7,1.055486676,0.09,-0.583797567,0.77,0.285776504,50940,-1.090589719,86,-1.022204276,0.12,-1.203359782,0.14,1.655142949
University of Oklahoma,Oklahoma,48.54419085,0.221215018,51.45580915,-0.212585233,0,-0.256262197,21294,-0.360632806,42.14346712,-0.295080597,57.85653288,0.391803701,0,-0.248704113,7026,-0.287676092,46.95621469,0.036761438,53.04378531,-0.024471159,28320,-0.363424577,2.627118644,-0.283500288,9.961158192,-0.135298128,3.527542373,-0.407832449,42.96610169,0.121055019,2.436440678,3.105409605,5.342514124,-0.40783815,0.067090395,-0.106709457,19.23705722,-0.674983254,75.8,0.266136268,88,0.245394661,43.7488398,-0.116491719,56.2511602,0.162947555,0,-0.24365733,21548,-0.615037071,42.8589613,0.015783292,57.1410387,0.028994691,0,-0.246166294,15712,-0.531271,43.79671151,-0.295257444,56.20328849,0.071719813,0,-0.241001764,4683,-0.223355764,GEDorHSDiplomaAccepted,Yes,3.67,-0.304001748,40,-0.726252356,Yes,52.03463203,0.512475628,47.96536797,-0.473335457,5.424063116,-0.28509876,39,0.992827289,32,0.089616111,68,-0.048458231,21,-0.004879567,5070,-1.753277495,22140,-1.218571402,22140,-1.240174881,61993318,-0.745008686,11172106,-0.774819428,62.4388408,-0.763956844,30.71557737,-2.249242669,19.17845045,-1.915158074,84.3,1.364098717,3596,-1.678929268,1966,-0.567854893,3119,-1.038474182,45,-0.290367443,31768,0.821982651,9,-0.654918512,4842,-0.580618955,16.4,-0.462536942,7.25,-0.965252481,1,Yes,0.785275994,0.39,1.23160246,0.11,1.343388948,0.14,1.45656564,19.8,-0.762402194,22.2,1.788330189,0.38,0.942811762,0.24,1.254951016,0.12,0.734219717,4.7,-0.320230702,459,0.588229573,33,0.8821108,7,1.055486676,0.09,-0.583797567,0.77,0.285776504,50940,-1.090589719,86,-1.022204276,0.12,-1.203359782,0.14,1.655142949
